Date,Ticker,Open,High,Low,Close,Volume,Adj Close
2014-02-11,BOA,0.25,0.25,0.25,0.25,000,0.25
2014-02-10,BOA,0.25,0.25,0.25,0.25,000,0.25
2014-02-07,BOA,0.25,0.25,0.25,0.25,000,0.25
2014-02-06,BOA,0.25,0.25,0.25,0.25,000,0.25
2014-02-05,BOA,0.25,0.25,0.25,0.25,000,0.25
2014-02-04,BOA,0.25,0.25,0.25,0.25,000,0.25
2014-02-03,BOA,0.25,0.25,0.25,0.25,000,0.25
2014-01-31,BOA,0.25,0.25,0.25,0.25,000,0.25
2014-01-30,BOA,0.25,0.25,0.25,0.25,000,0.25
2014-01-29,BOA,0.25,0.25,0.25,0.25,000,0.25
2014-01-28,BOA,0.25,0.25,0.25,0.25,000,0.25
2014-01-27,BOA,0.25,0.25,0.25,0.25,000,0.25
2014-01-24,BOA,0.25,0.25,0.25,0.25,000,0.25
2014-01-23,BOA,0.25,0.25,0.25,0.25,000,0.25
2014-01-22,BOA,0.25,0.25,0.25,0.25,000,0.25
2014-01-21,BOA,0.25,0.25,0.25,0.25,000,0.25
2014-01-20,BOA,0.25,0.25,0.25,0.25,000,0.25
2014-01-17,BOA,0.25,0.25,0.25,0.25,000,0.25
2014-01-16,BOA,0.25,0.25,0.25,0.25,000,0.25
2014-01-15,BOA,0.25,0.25,0.25,0.25,000,0.25
2014-01-14,BOA,0.25,0.25,0.25,0.25,000,0.25
2014-01-13,BOA,0.25,0.25,0.25,0.25,000,0.25
2014-01-10,BOA,0.25,0.25,0.25,0.25,000,0.25
2014-01-09,BOA,0.25,0.25,0.25,0.25,000,0.25
2014-01-08,BOA,0.25,0.25,0.25,0.25,000,0.25
2014-01-07,BOA,0.25,0.25,0.25,0.25,000,0.25
2014-01-06,BOA,0.25,0.25,0.25,0.25,000,0.25
2014-01-03,BOA,0.25,0.25,0.25,0.25,000,0.25
2014-01-02,BOA,0.25,0.25,0.25,0.25,000,0.25
2014-01-01,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-12-31,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-12-30,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-12-27,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-12-26,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-12-25,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-12-24,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-12-23,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-12-20,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-12-19,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-12-18,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-12-17,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-12-16,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-12-13,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-12-12,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-12-11,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-12-10,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-12-09,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-12-06,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-12-05,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-12-04,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-12-03,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-12-02,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-11-29,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-11-28,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-11-27,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-11-26,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-11-25,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-11-22,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-11-21,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-11-20,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-11-19,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-11-18,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-11-15,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-11-14,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-11-13,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-11-12,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-11-11,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-11-08,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-11-07,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-11-06,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-11-05,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-11-04,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-11-01,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-10-31,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-10-30,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-10-29,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-10-28,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-10-25,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-10-24,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-10-23,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-10-22,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-10-21,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-10-18,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-10-17,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-10-16,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-10-15,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-10-14,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-10-11,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-10-10,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-10-09,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-10-08,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-10-07,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-10-04,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-10-03,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-10-02,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-10-01,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-09-30,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-09-27,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-09-26,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-09-25,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-09-24,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-09-23,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-09-19,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-09-18,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-09-17,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-09-16,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-09-13,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-09-12,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-09-11,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-09-10,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-09-09,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-09-06,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-09-05,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-09-04,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-09-03,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-09-02,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-08-30,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-08-29,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-08-28,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-08-27,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-08-26,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-08-23,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-08-22,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-08-21,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-08-20,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-08-19,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-08-16,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-08-15,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-08-14,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-08-13,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-08-12,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-08-09,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-08-08,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-08-07,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-08-06,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-08-05,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-08-02,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-08-01,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-07-31,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-07-30,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-07-29,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-07-26,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-07-25,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-07-24,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-07-23,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-07-22,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-07-19,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-07-18,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-07-17,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-07-16,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-07-15,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-07-12,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-07-11,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-07-10,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-07-09,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-07-08,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-07-05,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-07-04,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-07-03,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-07-02,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-07-01,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-06-28,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-06-27,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-06-26,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-06-25,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-06-24,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-06-21,BOA,0.33,0.33,0.33,0.33,000,0.33
2013-06-20,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-06-19,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-06-18,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-06-17,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-06-14,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-06-13,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-06-12,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-06-11,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-06-10,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-06-07,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-06-06,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-06-05,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-06-04,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-06-03,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-05-31,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-05-30,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-05-29,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-05-28,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-05-27,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-05-24,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-05-23,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-05-22,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-05-21,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-05-20,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-05-17,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-05-16,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-05-15,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-05-14,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-05-13,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-05-10,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-05-09,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-05-08,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-05-07,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-05-06,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-05-03,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-05-02,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-05-01,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-04-30,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-04-29,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-04-26,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-04-25,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-04-24,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-04-23,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-04-22,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-04-19,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-04-18,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-04-17,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-04-16,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-04-15,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-04-12,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-04-11,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-04-10,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-04-09,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-04-08,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-04-05,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-04-04,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-04-03,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-04-02,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-04-01,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-03-29,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-03-28,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-03-27,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-03-26,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-03-25,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-03-22,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-03-21,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-03-20,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-03-19,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-03-18,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-03-15,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-03-14,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-03-13,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-03-12,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-03-11,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-03-08,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-03-07,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-03-06,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-03-05,BOA,0.25,0.25,0.21,0.25,000,0.25
2013-03-04,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-03-01,BOA,0.25,0.25,0.22,0.22,3000,0.22
2013-02-28,BOA,0.25,0.25,0.23,0.25,2500,0.25
2013-02-27,BOA,0.25,0.25,0.25,0.25,000,0.25
2013-02-26,BOA,0.21,0.21,0.21,0.21,000,0.21
2013-02-25,BOA,0.21,0.21,0.21,0.21,000,0.21
2013-02-22,BOA,0.21,0.21,0.21,0.21,2800,0.21
2013-02-21,BOA,0.21,0.21,0.21,0.21,000,0.21
2013-02-20,BOA,0.21,0.21,0.21,0.21,100,0.21
2013-02-19,BOA,0.21,0.21,0.21,0.21,000,0.21
2013-02-18,BOA,0.26,0.26,0.21,0.21,000,0.21
2013-02-15,BOA,0.26,0.26,0.26,0.26,000,0.26
2013-02-14,BOA,0.26,0.26,0.26,0.26,100,0.26
2013-02-13,BOA,0.26,0.26,0.26,0.26,000,0.26
2013-02-12,BOA,0.26,0.26,0.26,0.26,000,0.26
2013-02-11,BOA,0.26,0.26,0.26,0.26,1600,0.26
2013-02-08,BOA,0.26,0.26,0.26,0.26,000,0.26
2013-02-07,BOA,0.26,0.26,0.26,0.26,000,0.26
2013-02-06,BOA,0.27,0.27,0.26,0.26,3000,0.26
2013-02-05,BOA,0.27,0.27,0.27,0.27,000,0.27
2013-02-04,BOA,0.27,0.27,0.27,0.27,000,0.27
2013-02-01,BOA,0.27,0.27,0.27,0.27,000,0.27
2013-01-30,BOA,0.27,0.27,0.27,0.27,000,0.27
2013-01-29,BOA,0.27,0.27,0.27,0.27,000,0.27
2013-01-28,BOA,0.27,0.27,0.27,0.27,000,0.27
2013-01-25,BOA,0.27,0.27,0.27,0.27,000,0.27
2013-01-24,BOA,0.27,0.27,0.27,0.27,000,0.27
2013-01-23,BOA,0.27,0.27,0.27,0.27,000,0.27
2013-01-22,BOA,0.27,0.27,0.27,0.27,000,0.27
2013-01-21,BOA,0.27,0.27,0.27,0.27,000,0.27
2013-01-18,BOA,0.27,0.27,0.27,0.27,000,0.27
2013-01-17,BOA,0.27,0.27,0.27,0.27,000,0.27
2013-01-16,BOA,0.30,0.30,0.27,0.27,2000,0.27
2013-01-15,BOA,0.30,0.30,0.30,0.30,8700,0.30
2013-01-14,BOA,0.40,0.40,0.30,0.30,8100,0.30
2013-01-11,BOA,0.40,0.40,0.34,0.34,000,0.34
2013-01-10,BOA,0.35,0.40,0.33,0.40,1000,0.40
2013-01-09,BOA,0.48,0.48,0.40,0.40,3600,0.40
2013-01-08,BOA,0.29,0.50,0.29,0.49,26300,0.49
2013-01-07,BOA,0.42,0.42,0.35,0.35,3300,0.35
2013-01-04,BOA,0.31,0.38,0.30,0.38,3300,0.38
2013-01-03,BOA,0.25,0.30,0.22,0.30,12300,0.30
2013-01-02,BOA,0.30,0.32,0.27,0.27,4500,0.27
2013-01-01,BOA,0.30,0.30,0.30,0.30,000,0.30
2012-12-31,BOA,0.30,0.30,0.30,0.30,000,0.30
2012-12-28,BOA,0.25,0.30,0.22,0.30,12900,0.30
2012-12-27,BOA,0.25,0.25,0.21,0.25,3200,0.25
2012-12-26,BOA,0.25,0.25,0.25,0.25,000,0.25
2012-12-25,BOA,0.25,0.25,0.25,0.25,000,0.25
2012-12-24,BOA,0.25,0.25,0.25,0.25,000,0.25
2012-12-21,BOA,0.25,0.25,0.20,0.25,5000,0.25
2012-12-20,BOA,0.25,0.25,0.25,0.25,000,0.25
2012-12-19,BOA,0.25,0.25,0.25,0.25,000,0.25
2012-12-18,BOA,0.23,0.25,0.23,0.25,400,0.25
2012-12-17,BOA,0.25,0.25,0.25,0.25,000,0.25
2012-12-14,BOA,0.25,0.25,0.25,0.25,000,0.25
2012-12-13,BOA,0.25,0.25,0.25,0.25,100,0.25
2012-12-12,BOA,0.22,0.22,0.22,0.22,100,0.22
2012-12-11,BOA,0.27,0.27,0.27,0.27,000,0.27
2012-12-10,BOA,0.27,0.27,0.27,0.27,1000,0.27
2012-12-07,BOA,0.27,0.27,0.27,0.27,1400,0.27
